preprocessing...
generating test/val sets...
creating false test edges...
creating false val edges...
creating false train edges...
final checks for disjointness...
creating adj_train...
Done with train-test split!


epoch:240 loss:0.63
epoch:241 loss:0.63
epoch:242 loss:0.63
epoch:243 loss:0.63
epoch:244 loss:0.63
epoch:245 loss:0.63
epoch:246 loss:0.63
epoch:247 loss:0.63
epoch:248 loss:0.63
epoch:249 loss:0.63
epoch:250 loss:0.63
epoch:251 loss:0.63
epoch:252 loss:0.63
epoch:253 loss:0.63
epoch:254 loss:0.63
epoch:255 loss:0.63
epoch:256 loss:0.63
epoch:257 loss:0.63
epoch:258 loss:0.63
epoch:259 loss:0.63
epoch:260 loss:0.63
epoch:261 loss:0.63
epoch:262 loss:0.63
epoch:263 loss:0.63
epoch:264 loss:0.63
epoch:265 loss:0.63
epoch:266 loss:0.63
epoch:267 loss:0.63
epoch:268 loss:0.62
epoch:269 loss:0.62
epoch:270 loss:0.62
epoch:271 loss:0.62
epoch:272 loss:0.62
epoch:273 loss:0.62
epoch:274 loss:0.62
epoch:275 loss:0.62
epoch:276 loss:0.62
epoch:277 loss:0.62
epoch:278 loss:0.62
epoch:279 loss:0.62
epoch:280 loss:0.62
epoch:281 loss:0.62
epoch:282 loss:0.62
epoch:283 loss:0.62
epoch:284 loss:0.62
epoch:285 loss:0.62
epoch:286 loss:0.62
epoch:287 loss:0.62
epoch:288 loss:0.62
epoch:289 loss:0.62
epoch:290 loss:0.62
epoch:291 loss:0.62
epoch:292 loss:0.62
epoch:293 loss:0.62
epoch:294 loss:0.62
epoch:295 loss:0.62
epoch:296 loss:0.62
epoch:297 loss:0.62
epoch:298 loss:0.62
epoch:299 loss:0.62
epoch:300 loss:0.62
epoch:301 loss:0.62
epoch:302 loss:0.62
epoch:303 loss:0.62
epoch:304 loss:0.62
epoch:305 loss:0.61
epoch:306 loss:0.62
epoch:307 loss:0.61
epoch:308 loss:0.62
epoch:309 loss:0.61
epoch:310 loss:0.61
epoch:311 loss:0.61
epoch:312 loss:0.61
epoch:313 loss:0.61
epoch:314 loss:0.61
epoch:315 loss:0.61
epoch:316 loss:0.61
epoch:317 loss:0.61
epoch:318 loss:0.61
epoch:319 loss:0.61
epoch:320 loss:0.61
epoch:321 loss:0.61
epoch:322 loss:0.61
epoch:323 loss:0.61
epoch:324 loss:0.61
epoch:325 loss:0.61
epoch:326 loss:0.61
epoch:327 loss:0.61
epoch:328 loss:0.61
epoch:329 loss:0.61
epoch:330 loss:0.61
epoch:331 loss:0.61
epoch:332 loss:0.61
epoch:333 loss:0.61
epoch:334 loss:0.61
epoch:335 loss:0.61
epoch:336 loss:0.61
epoch:337 loss:0.61
epoch:338 loss:0.61
epoch:339 loss:0.61
epoch:340 loss:0.61
epoch:341 loss:0.61
epoch:342 loss:0.61
epoch:343 loss:0.61
epoch:344 loss:0.61
epoch:345 loss:0.61
epoch:346 loss:0.60
epoch:347 loss:0.60
epoch:348 loss:0.60
epoch:349 loss:0.60
epoch:350 loss:0.60
epoch:351 loss:0.60
epoch:352 loss:0.60
epoch:353 loss:0.60
epoch:354 loss:0.60
epoch:355 loss:0.60
epoch:356 loss:0.60
epoch:357 loss:0.60
epoch:358 loss:0.60
epoch:359 loss:0.60
epoch:360 loss:0.60
epoch:361 loss:0.60
epoch:362 loss:0.60
epoch:363 loss:0.60
epoch:364 loss:0.60
epoch:365 loss:0.60
epoch:366 loss:0.60
epoch:367 loss:0.60
epoch:368 loss:0.60
epoch:369 loss:0.60
epoch:370 loss:0.60
epoch:371 loss:0.60
epoch:372 loss:0.60
epoch:373 loss:0.60
epoch:374 loss:0.60
epoch:375 loss:0.60
epoch:376 loss:0.60
epoch:377 loss:0.60
epoch:378 loss:0.60
epoch:379 loss:0.60
epoch:380 loss:0.60
epoch:381 loss:0.60
epoch:382 loss:0.60
epoch:383 loss:0.60
epoch:384 loss:0.60
epoch:385 loss:0.60
epoch:386 loss:0.60
epoch:387 loss:0.59
epoch:388 loss:0.59
epoch:389 loss:0.59
epoch:390 loss:0.60
epoch:391 loss:0.59
epoch:392 loss:0.59
epoch:393 loss:0.59
epoch:394 loss:0.59
epoch:395 loss:0.59
epoch:396 loss:0.59
epoch:397 loss:0.59
epoch:398 loss:0.59
epoch:399 loss:0.59
epoch:400 loss:0.59
epoch:401 loss:0.59
epoch:402 loss:0.59
epoch:403 loss:0.59
epoch:404 loss:0.59
epoch:405 loss:0.59
epoch:406 loss:0.59
epoch:407 loss:0.59
epoch:408 loss:0.59
epoch:409 loss:0.59
epoch:410 loss:0.59
epoch:411 loss:0.59
epoch:412 loss:0.59
epoch:413 loss:0.59
epoch:414 loss:0.59
epoch:415 loss:0.59
epoch:416 loss:0.59
epoch:417 loss:0.59
epoch:418 loss:0.59
epoch:419 loss:0.59
epoch:420 loss:0.59
epoch:421 loss:0.59
epoch:422 loss:0.59
epoch:423 loss:0.59
epoch:424 loss:0.59
epoch:425 loss:0.59
epoch:426 loss:0.59
epoch:427 loss:0.59
epoch:428 loss:0.59
epoch:429 loss:0.59
epoch:430 loss:0.59
epoch:431 loss:0.59
epoch:432 loss:0.59
epoch:433 loss:0.59
epoch:434 loss:0.59
epoch:435 loss:0.59
epoch:436 loss:0.58
epoch:437 loss:0.58
epoch:438 loss:0.58
epoch:439 loss:0.58
epoch:440 loss:0.59
epoch:441 loss:0.58
epoch:442 loss:0.58
epoch:443 loss:0.58
epoch:444 loss:0.58
epoch:445 loss:0.58
epoch:446 loss:0.58
epoch:447 loss:0.58
epoch:448 loss:0.58
epoch:449 loss:0.58
epoch:450 loss:0.58
epoch:451 loss:0.58
epoch:452 loss:0.58
epoch:453 loss:0.58
epoch:454 loss:0.58
epoch:455 loss:0.58
epoch:456 loss:0.58
epoch:457 loss:0.58
epoch:458 loss:0.58
epoch:459 loss:0.58
epoch:460 loss:0.58
epoch:461 loss:0.58
epoch:462 loss:0.58
epoch:463 loss:0.58
epoch:464 loss:0.58
epoch:465 loss:0.58
epoch:466 loss:0.58
epoch:467 loss:0.58
epoch:468 loss:0.58
epoch:469 loss:0.58
epoch:470 loss:0.58
epoch:471 loss:0.58
epoch:472 loss:0.58
epoch:473 loss:0.58
epoch:474 loss:0.58
epoch:475 loss:0.58
epoch:476 loss:0.58
epoch:477 loss:0.58
epoch:478 loss:0.58
epoch:479 loss:0.58
epoch:480 loss:0.58
epoch:481 loss:0.58
epoch:482 loss:0.58
epoch:483 loss:0.58
epoch:484 loss:0.58
epoch:485 loss:0.58
epoch:486 loss:0.58
epoch:487 loss:0.58
epoch:488 loss:0.58
epoch:489 loss:0.58
epoch:490 loss:0.58
epoch:491 loss:0.58
epoch:492 loss:0.58
epoch:493 loss:0.58
epoch:494 loss:0.58
epoch:495 loss:0.58
epoch:496 loss:0.58
epoch:497 loss:0.58
epoch:498 loss:0.57
epoch:499 loss:0.57
epoch:500 loss:0.57
epoch:501 loss:0.58
epoch:502 loss:0.57
epoch:503 loss:0.57
epoch:504 loss:0.58
epoch:505 loss:0.57
epoch:506 loss:0.57
epoch:507 loss:0.57
epoch:508 loss:0.57
epoch:509 loss:0.57
epoch:510 loss:0.57
